date close
1387212120 162.61
1387212130 362.77
1387212140 362.91
1387212150 362.61
1387212160 362.36
1387212170 362.68
1387212180 363.07
1387212190 362.86
1387212200 362.83
1387212220 362.87
1387212230 362.89
1387212240 362.86
1387212250 362.95
1387212260 363.23
1387212270 363.87
1593101220 363.76
1593101280 363.783
1593101340 363.44
1593101400 363.22
1593101460 63.11
1593101520 363.02
1593101580 363.17
1593101640 362.67
1593101700 362.51
1593101760 362.64
1593101820 362.77
1593101880 362.58
1593101940 362.91
1593102000 362.8
1593102060 362.71
1593102120 362.84
